"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV","Y"
47.0,35,302783,6.0,0.0,20150417,20150417,20180221,20200417,5046,5046,19125,1.0,24,1.0,2.0,34,17468,1.0,0.0,2.0,1.0,0.0,9,1,1,36,1
38.0,38,211366,5.0,0.0,20150220,20150220,20180208,20200220,7044,3522,22327,1.0,41,1.0,2.0,36,19040,0.0,0.0,2.0,3.0,0.0,9,1,1,40,1
13.0,50,323640,1.0,0.0,20150220,20160115,20190218,20200220,0,5394,34514,1.0,25,0.0,0.0,50,24485,1.0,0.0,1.0,3.0,47.0,8,1,1,50,1
59.0,60,377036,1.0,0.0,20150417,20150717,20200305,20200417,12566,6283,35754,1.0,41,1.0,2.0,58,28599,1.0,0.0,1.0,3.0,13.0,9,0,1,61,1
97.0,45,392349,6.0,0.0,20150417,20150417,20181226,20200417,6539,6539,40430,1.0,56,1.0,2.0,44,22024,0.0,1.0,2.0,3.0,0.0,9,0,1,46,1
5.0,26,233373,6.0,0.0,20150220,20150320,20170207,20200220,19445,3889,22621,0.0,24,1.0,2.0,21,13341,0.0,0.0,2.0,0.0,4.0,8,0,1,27,0
85.0,60,206535,2.0,0.0,20150220,20160715,20200218,20200220,3442,3442,17286,1.0,21,0.0,0.0,59,29743,0.0,0.0,2.0,3.0,73.0,8,0,1,61,1
69.0,55,193211,0.0,0.0,20150417,20160923,20191001,20200417,16100,3220,14125,0.0,63,0.0,0.0,50,26445,1.0,1.0,0.0,3.0,75.0,8,0,1,56,0
28.0,16,58486,1.0,0.0,20150717,20150717,20161005,20200717,7792,2000,6138,0.0,47,1.0,2.0,8,8220,1.0,0.0,1.0,3.0,0.0,8,0,0,17,0
18.0,33,308796,6.0,0.0,20150515,20150515,20180130,20200515,5146,5146,17436,1.0,27,1.0,2.0,32,16482,0.0,0.0,2.0,0.0,0.0,7,0,1,34,1
77.0,52,228860,1.0,0.0,20150220,20150515,20190430,20200220,15256,3814,14834,0.0,33,1.0,2.0,48,25369,0.0,0.0,1.0,0.0,12.0,8,0,1,55,0
18.0,57,345442,0.0,0.0,20150417,20160318,20200915,20200417,5757,5757,24088,1.0,31,0.0,0.0,56,31166,0.0,0.0,0.0,3.0,48.0,9,0,1,58,1
74.0,43,202883,1.0,0.0,20150717,20160415,20190129,20200717,6762,3381,14254,1.0,62,0.0,0.0,41,20892,0.0,1.0,1.0,3.0,39.0,9,0,1,45,1
58.0,29,122039,6.0,0.0,20150220,20150320,20170508,20200220,18297,2033,9829,0.0,51,1.0,2.0,20,14790,0.0,0.0,2.0,3.0,4.0,8,0,1,32,0
58.0,22,182730,6.0,0.0,20150220,20150320,20161028,20200220,30450,3045,14861,0.0,44,1.0,2.0,12,11368,0.0,0.0,2.0,3.0,4.0,8,0,1,28,0
47.0,60,265464,0.0,0.0,20151218,20181019,20210309,20201218,0,4424,20666,1.0,51,0.0,0.0,60,29483,1.0,0.0,0.0,0.0,148.0,8,1,1,60,1
18.0,33,239441,6.0,0.0,20150116,20150116,20170929,20200116,31920,3990,22664,0.0,38,1.0,2.0,25,16707,0.0,0.0,2.0,3.0,0.0,9,0,1,38,0
118.0,44,251669,5.0,0.0,20160219,20160318,20190912,20210219,37746,4194,23826,0.0,38,1.0,2.0,35,20799,0.0,0.0,2.0,3.0,4.0,9,0,1,50,0
45.0,47,339702,1.0,0.0,20151218,20160819,20190903,20201218,0,5661,27039,1.0,39,1.0,2.0,47,22342,0.0,0.0,1.0,3.0,35.0,7,0,1,47,1
68.0,59,316984,1.0,0.0,20150619,20160318,20200701,20200619,0,5283,27542,1.0,41,1.0,2.0,59,29795,0.0,0.0,1.0,3.0,39.0,7,1,1,59,1
11.0,56,290146,0.0,0.0,20151218,20190426,20200625,20201218,0,4835,30372,1.0,23,0.0,0.0,56,26227,0.0,0.0,0.0,3.0,175.0,8,0,1,56,1
38.0,59,306787,0.0,0.0,20150417,20161118,20200715,20200417,10226,5113,25305,1.0,31,0.0,0.0,57,30841,0.0,0.0,0.0,0.0,83.0,8,1,1,60,1
