"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV"
47,35,302783,6,0,20150417,20150417,20180221,20200417,5046,5046,19125,1,24,1,2,34,17468,1,0,2,1,0,9,1,1,36
38,38,211366,5,0,20150220,20150220,20180208,20200220,7044,3522,22327,1,41,1,2,36,19040,0,0,2,3,0,9,1,1,40
13,50,323640,1,0,20150220,20160115,20190218,20200220,0,5394,34514,1,25,0,0,50,24485,1,0,1,3,47,8,1,1,50
59,60,377036,1,0,20150417,20150717,20200305,20200417,12566,6283,35754,1,41,1,2,58,28599,1,0,1,3,13,9,0,1,61
97,45,392349,6,0,20150417,20150417,20181226,20200417,6539,6539,40430,1,56,1,2,44,22024,0,1,2,3,0,9,0,1,46
5,26,233373,6,0,20150220,20150320,20170207,20200220,19445,3889,22621,0,24,1,2,21,13341,0,0,2,0,4,8,0,1,27
85,60,206535,2,0,20150220,20160715,20200218,20200220,3442,3442,17286,1,21,0,0,59,29743,0,0,2,3,73,8,0,1,61
69,55,193211,0,0,20150417,20160923,20191001,20200417,16100,3220,14125,0,63,0,0,50,26445,1,1,0,3,75,8,0,1,56
28,16,58486,1,0,20150717,20150717,20161005,20200717,7792,2000,6138,0,47,1,2,8,8220,1,0,1,3,0,8,0,0,17
18,33,308796,6,0,20150515,20150515,20180130,20200515,5146,5146,17436,1,27,1,2,32,16482,0,0,2,0,0,7,0,1,34
77,52,228860,1,0,20150220,20150515,20190430,20200220,15256,3814,14834,0,33,1,2,48,25369,0,0,1,0,12,8,0,1,55
18,57,345442,0,0,20150417,20160318,20200915,20200417,5757,5757,24088,1,31,0,0,56,31166,0,0,0,3,48,9,0,1,58
74,43,202883,1,0,20150717,20160415,20190129,20200717,6762,3381,14254,1,62,0,0,41,20892,0,1,1,3,39,9,0,1,45
58,29,122039,6,0,20150220,20150320,20170508,20200220,18297,2033,9829,0,51,1,2,20,14790,0,0,2,3,4,8,0,1,32
58,22,182730,6,0,20150220,20150320,20161028,20200220,30450,3045,14861,0,44,1,2,12,11368,0,0,2,3,4,8,0,1,28
47,60,265464,0,0,20151218,20181019,20210309,20201218,0,4424,20666,1,51,0,0,60,29483,1,0,0,0,148,8,1,1,60
18,33,239441,6,0,20150116,20150116,20170929,20200116,31920,3990,22664,0,38,1,2,25,16707,0,0,2,3,0,9,0,1,38
118,44,251669,5,0,20160219,20160318,20190912,20210219,37746,4194,23826,0,38,1,2,35,20799,0,0,2,3,4,9,0,1,50
45,47,339702,1,0,20151218,20160819,20190903,20201218,0,5661,27039,1,39,1,2,47,22342,0,0,1,3,35,7,0,1,47
68,59,316984,1,0,20150619,20160318,20200701,20200619,0,5283,27542,1,41,1,2,59,29795,0,0,1,3,39,7,1,1,59
