"FechaUltimoPago","CostoAdmin","FechaAdjudicación","FechaInicioC","FechaProyectadaFin","MontoVencido","Ingresos","TotalMonto","SemanasAdjud","EdadActual","Mensualidad","Ocupacion","Y"
20220106,27860,20180518,20161216,20211216,5626,27280,337617,74,46,5626,18,1
20220511,35932,20171020,20150320,20200320,5711,26926,342697,135,42,5711,107,1
20220222,28245,20170915,20161216,20211216,11274,29518,338249,39,23,5637,100,1
20220603,15889,20190920,20190315,20240315,8310,24596,249328,27,32,4155,77,1
20220601,22814,20181116,20171117,20221117,0,26367,274350,52,33,4572,97,1
20190103,12673,20170317,20161216,20211216,20830,10925,124984,13,24,2083,126,0
20170508,14265,20160520,20150320,20200320,24895,20284,298771,61,51,4979,58,0
20200818,31790,20151016,20150320,20200320,7256,18770,217708,30,35,3628,77,1
20220602,21795,20181116,20180316,20230316,0,18845,260730,35,61,4345,97,1
20200330,29646,20161216,20150320,20200320,0,24131,286896,91,24,4781,97,1
20220527,22814,20190215,20171117,20221117,0,29462,402310,65,18,6705,62,1
20220529,18574,20191220,20180921,20230921,10508,23256,315257,65,36,5254,15,1
20200317,29122,20160219,20150320,20200320,4691,25575,281494,48,52,4691,97,1
20220601,21416,20190215,20180316,20230316,6450,29490,387007,48,40,6450,68,1
20220513,21416,20190315,20180316,20230316,4938,32805,296332,52,25,4938,26,1
20220506,27033,20180720,20170421,20220421,0,32422,378719,65,37,6311,23,1
20220602,22258,20190118,20180316,20230316,0,55153,506811,44,43,8446,51,1
20200703,21534,20170915,20160923,20210923,0,29734,371692,51,42,6194,97,1
20220502,20494,20190118,20180420,20230420,7743,47373,464633,39,32,7743,58,1
20220601,23666,20180921,20171117,20221117,0,28624,433910,44,45,7231,97,1
20220601,23764,20181116,20171020,20221020,6567,36684,394029,56,54,6567,45,1
20210928,25794,20170818,20170120,20220120,20908,57298,627270,30,52,10454,58,1
20211004,37008,20160318,20150417,20200417,4965,27611,297957,48,32,4965,119,1
20220602,24143,20190215,20171020,20221020,0,41844,462500,69,53,7708,80,1
20200307,29122,20160715,20150417,20200417,4425,17046,265531,65,51,4425,126,1
20190603,4913,20180921,20180817,20230817,38160,16543,228965,5,41,3816,97,0
20180221,17990,20160219,20150417,20200417,11502,9018,115076,44,29,2000,50,0
20190930,26530,20150821,20150417,20200417,4220,20269,253251,18,45,4220,54,1
20200304,29122,20160219,20150417,20200417,0,21312,270930,44,50,4515,121,1
20220516,27701,20180119,20160923,20210923,7780,37323,466818,69,44,7780,97,1
20210108,33365,20161021,20150417,20200417,3988,14932,239330,79,25,3988,58,1
20220517,19109,20190621,20180817,20230817,0,26056,282143,44,29,4702,66,1
20210702,20630,20171020,20171020,20221020,20778,43411,623366,0,57,10389,97,1
20220505,27033,20190118,20180316,20230316,0,30203,345034,44,39,5750,23,1
20181005,21654,20150918,20150417,20200417,32858,24884,281694,22,55,4694,80,0
20191129,22184,20161118,20160115,20210115,21512,36383,322709,44,43,5378,97,0
20220413,26654,20180216,20170421,20220421,12904,36490,387122,43,30,6452,45,1
20200325,16831,20170519,20170421,20220421,0,32079,361885,4,57,6031,69,1
20200817,19461,20180420,20170217,20220217,17330,12928,207986,61,32,3466,50,0
20220601,21795,20190315,20180316,20230316,13990,41392,419703,52,65,6995,62,1
20220422,19109,20180817,20180817,20230817,12838,37742,385189,0,26,6419,40,1
20220506,29130,20180921,20161021,20211021,12544,26019,376352,100,51,6272,44,1
20200626,30415,20160318,20150417,20200417,15754,27675,472641,48,25,7877,18,1
20220502,26066,20180216,20170616,20220616,0,24175,452042,35,44,7534,50,1
20220503,23193,20181221,20171117,20221117,5708,28916,342496,57,34,5708,18,1
20201104,21216,20181019,20170120,20220120,23136,29225,347085,91,22,5784,28,0
20220526,21416,20190816,20180316,20230316,11530,31248,345904,74,47,5765,35,1
20190103,22990,20160923,20150417,20200417,5256,24308,315382,75,60,5256,38,1
20180327,18450,20160219,20150417,20200417,11568,11215,173572,44,26,2892,85,0
20200812,26047,20160115,20160115,20210115,12448,33693,373472,0,50,6224,97,1
20220521,21416,20181116,20180316,20230316,12866,30816,386011,35,39,6433,50,1
20190719,25648,20150417,20150417,20200417,0,23762,339228,0,28,5653,50,1
20220602,26549,20180119,20170519,20220519,6193,30852,371617,35,40,6193,97,1
20220411,26170,20180817,20170519,20220519,8991,41063,539507,65,53,8991,45,1
20200402,12027,20190215,20180316,20230316,16206,10702,162091,48,37,2701,50,0
20220520,24621,20180216,20170915,20220915,4570,26444,274245,22,34,4570,5,1
20200611,29892,20160520,20150515,20200515,6084,28088,365062,53,25,6084,97,1
20200925,31166,20160415,20150515,20200515,9590,46962,575455,48,40,9590,97,1
20220602,24242,20181116,20170915,20220915,5819,31350,349150,61,27,5819,63,1
20180831,20227,20160318,20150515,20200515,18678,14890,186807,44,22,3113,97,0
20210304,13438,20190719,20180921,20230921,24095,24410,289193,43,20,4819,15,0
20210827,26905,20170818,20160923,20210923,5820,39161,349212,47,37,5820,23,1
20220601,26549,20171215,20170519,20220519,5826,24576,349606,30,50,5826,5,1
20180327,17928,20150515,20150515,20200515,5860,15702,175828,0,45,2930,97,1
20220421,15510,20190315,20190315,20240315,6044,17152,181379,0,36,3022,62,1
20200701,30318,20161021,20150515,20200515,20520,51450,615614,75,23,10260,126,1
20220506,17221,20191220,20190118,20240118,8556,25001,256684,48,45,4278,105,1
20190401,23797,20151218,20150515,20200515,3509,18070,210573,31,35,3509,98,1
