"FechaUltimoPago","CostoAdmin","FechaAdjudicación","FechaInicioC","FechaProyectadaFin","MontoVencido","Ingresos","TotalMonto","SemanasAdjud","EdadActual","Mensualidad","Ocupacion","Y"
20180221,17468,20150417,20150417,20200417,5046,19125,302783,0,24,5046,47,1
20180208,19040,20150220,20150220,20200220,7044,22327,211366,0,41,3522,38,1
20190218,24485,20160115,20150220,20200220,0,34514,323640,47,25,5394,13,1
20200305,28599,20150717,20150417,20200417,12566,35754,377036,13,41,6283,59,1
20181226,22024,20150417,20150417,20200417,6539,40430,392349,0,56,6539,97,1
20170207,13341,20150320,20150220,20200220,19445,22621,233373,4,24,3889,5,0
20200218,29743,20160715,20150220,20200220,3442,17286,206535,73,21,3442,85,1
20191001,26445,20160923,20150417,20200417,16100,14125,193211,75,63,3220,69,0
20161005,8220,20150717,20150717,20200717,7792,6138,58486,0,47,2000,28,0
20180130,16482,20150515,20150515,20200515,5146,17436,308796,0,27,5146,18,1
20190430,25369,20150515,20150220,20200220,15256,14834,228860,12,33,3814,77,0
20200915,31166,20160318,20150417,20200417,5757,24088,345442,48,31,5757,18,1
20190129,20892,20160415,20150717,20200717,6762,14254,202883,39,62,3381,74,1
20170508,14790,20150320,20150220,20200220,18297,9829,122039,4,51,2033,58,0
20161028,11368,20150320,20150220,20200220,30450,14861,182730,4,44,3045,58,0
20210309,29483,20181019,20151218,20201218,0,20666,265464,148,51,4424,47,1
20170929,16707,20150116,20150116,20200116,31920,22664,239441,0,38,3990,18,0
20190912,20799,20160318,20160219,20210219,37746,23826,251669,4,38,4194,118,0
20190903,22342,20160819,20151218,20201218,0,27039,339702,35,39,5661,45,1
20200701,29795,20160318,20150619,20200619,0,27542,316984,39,41,5283,68,1
20200625,26227,20190426,20151218,20201218,0,30372,290146,175,23,4835,11,1
20200715,30841,20161118,20150417,20200417,10226,25305,306787,83,31,5113,38,1
20180522,20425,20151016,20150116,20200116,31479,17477,269836,39,28,4497,52,0
20211014,34910,20160617,20150717,20200717,10082,20080,302494,48,34,5041,50,1
20190515,24240,20151016,20150515,20200515,31860,11031,191162,22,36,3186,87,0
